commune,commune_node
2A001,5795014130
2A004,5196875570
2A006,1248478336
2A008,6421216202
2A011,4966564154
2A014,2992020523
2A017,7727226387
2A018,938561065
2A019,1242569755
2A021,7737506096
2A022,1247756895
2A024,6423911897
2A026,1041125387
2A027,300434575
2A028,4275725606
2A031,3577234403
2A032,3353306374
2A035,5337978695
2A038,2504344523
2A040,4421067851
2A041,386850990
2A048,2997721137
2A056,8378679142
2A060,5871464730
2A061,3528003078
2A062,406573871
2A064,5871522486
2A065,6583648402
2A066,6426306657
2A070,2254478682
2A071,5877326412
2A085,7737504707
2A089,2695614845
2A090,3724463317
2A091,498734746
2A092,274064519
2A094,4412249179
2A098,8952291660
2A099,4413928009
2A100,339614748
2A103,500881739
2A104,7737504113
2A108,1240367589
2A114,3778122658
2A115,4340129974
2A117,5521824632
2A118,5905554510
2A119,8378679436
2A127,7729319873
2A128,5910787144
2A129,9484672376
2A130,1900438245
2A131,1244920538
2A132,858317623
2A133,5912984151
2A139,2337208715
2A141,3816929668
2A142,9403783747
2A144,1244921324
2A146,9176816157
2A154,283721523
2A158,5915088988
2A160,299333338
2A163,1779695508
2A174,1244920665
2A181,1840983892
2A186,1377035718
2A189,334214305
2A191,5935951050
2A196,1244921856
2A197,1602615251
2A198,1042263134
2A200,5947522383
2A203,2779845821
2A204,5960594663
2A209,413422868
2A211,7734133128
2A212,3497466782
2A215,61152732
2A228,2788692416
2A232,498735074
2A240,1241368385
2A247,365385543
2A249,334248442
2A253,5977227380
2A254,1434216581
2A258,826489301
2A259,1246208964
2A262,826534279
2A266,5843814360
2A268,82577076
2A269,15904608
2A270,1041217623
2A271,8296202841
2A272,257083611
2A276,3053060386
2A278,9421652070
2A279,1022554742
2A282,1240364732
2A284,5100643718
2A285,6148943002
2A288,1973175171
2A295,3579305508
2A300,8948755496
2A308,9448493404
2A310,528341641
2A312,257429607
2A322,2151918206
2A323,5063471585
2A324,401946789
2A326,559614604
2A330,295951871
2A331,340183063
2A336,3583787481
2A345,9482934045
2A348,256026755
2A349,1038333457
2A351,7681289396
2A357,660330488
2A358,4410356113
2A359,858320060
2A360,50487506
2A362,1438712044
2A363,6426306504
2B002,344402757
2B003,9115469570
2B005,1705753531
2B007,6253750528
2B009,2801435907
2B010,1436549025
2B012,3042929744
2B013,4616574405
2B015,9312802039
2B016,5531292206
2B020,4229034266
2B023,497370104
2B025,8578420365
2B029,82568690
2B030,2629173686
2B033,8109836211
2B034,2218352145
2B036,3676334865
2B037,1797913766
2B039,2616829530
2B042,3040130548
2B043,4431381922
2B045,2315860852
2B046,60359541
2B047,411224242
2B049,3560258109
2B050,5876483778
2B051,8069734063
2B052,1390178533
