stop,stop_node
0,394695922
1,276984551
2,245916772
3,258557760
4,339875414
5,406126591
6,401899337
7,1828722723
8,2358639503
9,1097161458
10,1438772679
11,1438772679
12,2502907927
13,1945605528
14,8327702970
17,343105185
18,9064179066
19,8569007182
20,2996213755
21,2996213755
22,4460494743
23,1251813921
24,1038035310
25,1251813921
26,440346912
27,2619265671
28,2313442539
29,486440558
30,340347988
31,3700289024
33,5511540481
35,938869755
37,1373050991
39,1216751871
40,5899749020
41,3689705461
42,340347988
43,6341245976
45,353290646
46,1890063113
50,9081245022
51,9081245022
52,9081245022
54,2313442539
55,1042273807
56,336545927
57,2475798911
58,3112498966
59,3754873023
60,6340646703
